DocumentID,ProjectName,DocumentName,DocumentURI,ResolvedPath,Desc,Notes,Category,AddedOn
1004,General,Weekly Meeting ,\1\Weekly Meeting -2022-12-5-638058355183666010.rtf,D:\DBX\LocalDocFolder\1\Weekly Meeting -2022-12-5-638058355183666010.rtf,,,Minutes,12/5/2022
1007,Not used,General Meeting ,\17\General Meeting -2022-12-6-638059034026972468.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-12-6-638059034026972468.rtf,,,Minutes,12/6/2022
1008,Not used,General Meeting ,\17\General Meeting -2022-12-6-638059056040522807.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-12-6-638059056040522807.rtf,,,Minutes,12/6/2022
1012,Not used,SL Presentation ,\17\SL Presentation -2022-12-7-638059908068389226.rtf,D:\DBX\LocalDocFolder\17\SL Presentation -2022-12-7-638059908068389226.rtf,,,Minutes,12/7/2022
1013,General,Marketing General Meeting ,\1\Marketing General Meeting -2022-12-7-638060223978344668.rtf,D:\DBX\LocalDocFolder\1\Marketing General Meeting -2022-12-7-638060223978344668.rtf,,,Minutes,12/7/2022
1014,BPL CPAB,Weekly Meeting ,\14\Weekly Meeting -2022-12-7-638060252576843735.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-12-7-638060252576843735.rtf,,,Minutes,12/7/2022
1017,Sibel App,Weekly Meeting ,\14\Weekly Meeting -2022-12-7-638060384567029707.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-12-7-638060384567029707.rtf,,,Minutes,12/8/2022
1019,General,General Meeting ,\1\General Meeting -2022-12-9-638061615466047035.rtf,D:\DBX\LocalDocFolder\1\General Meeting -2022-12-9-638061615466047035.rtf,,,Minutes,12/9/2022
1020,Not used,General Meeting ,\17\General Meeting -2022-12-9-638061616314307564.rtf,D:\DBX\LocalDocFolder\17\General Meeting -2022-12-9-638061616314307564.rtf,,,Minutes,12/9/2022
1022,BPL CPAB,Internal Weekly Meeting ,\14\Internal Weekly Meeting -2022-12-12-638064416554306932.rtf,D:\DBX\LocalDocFolder\14\Internal Weekly Meeting -2022-12-12-638064416554306932.rtf,,,Minutes,12/12/2022
1025,General,Flipcart mobile return request,\1\ScreenShot-35.bmp,D:\DBX\LocalDocFolder\1\ScreenShot-35.bmp,,,General,12/12/2022
1026,Sibel App,Weekly Meeting ,\16\Weekly Meeting -2022-12-13-638065575328870231.rtf,D:\DBX\LocalDocFolder\16\Weekly Meeting -2022-12-13-638065575328870231.rtf,,,Minutes,12/13/2022
1031,General,General Meeting ,\1\General Meeting -2022-12-14-638066141421406850.rtf,D:\DBX\LocalDocFolder\1\General Meeting -2022-12-14-638066141421406850.rtf,,,Minutes,12/14/2022
1033,General,CAM General Meeting ,\1\CAM General Meeting -2022-12-15-638066993096787087.rtf,D:\DBX\LocalDocFolder\1\CAM General Meeting -2022-12-15-638066993096787087.rtf,,,Minutes,12/15/2022
1034,General,Freshto Rely General Meeting ,\1\Freshto Rely General Meeting -2022-12-15-638067042193739615.rtf,D:\DBX\LocalDocFolder\1\Freshto Rely General Meeting -2022-12-15-638067042193739615.rtf,,,Minutes,12/15/2022
1035,General,Patch General Meeting ,\1\Patch General Meeting -2022-12-15-638067058021211176.rtf,D:\DBX\LocalDocFolder\1\Patch General Meeting -2022-12-15-638067058021211176.rtf,,,Minutes,12/15/2022
1038,General,XRAY General Meeting ,\1\XRAY General Meeting -2022-12-15-638067211693119330.rtf,D:\DBX\LocalDocFolder\1\XRAY General Meeting -2022-12-15-638067211693119330.rtf,,,Minutes,12/15/2022
1039,Personal,PASSPORT APPLICATION REF NUMBER,\11\ScreenShot-874.bmp,D:\DBX\LocalDocFolder\11\ScreenShot-874.bmp,,,General,12/16/2022
1040,Sibel App,LogWriter.java,\16\LogWriter-2022-12-16-9-57-38.java,D:\DBX\LocalDocFolder\16\LogWriter-2022-12-16-9-57-38.java,,,TempFiles,12/16/2022
1041,Sibel App,RCA General Meeting ,\16\RCA General Meeting -2022-12-16-638067838085925562.rtf,D:\DBX\LocalDocFolder\16\RCA General Meeting -2022-12-16-638067838085925562.rtf,,,Minutes,12/16/2022
1046,DevDiary,temp file test,\6\Discussion Points & Specs-2022-12-19-9-19-13.pptm,D:\DBX\LocalDocFolder\6\Discussion Points & Specs-2022-12-19-9-19-13.pptm,temp file test,,,12/19/2022
1049,General,HealthPatch Related documents.rar,\1\HealthPatch Related documents-2022-12-19-11-51-42.rar,D:\DBX\LocalDocFolder\1\HealthPatch Related documents-2022-12-19-11-51-42.rar,Health patch related document given by the customer,,TempFiles,12/19/2022
1050,General,HealthPatch Related documents bmjo.rar,\1\HealthPatch Related documents-2022-12-19-12-5-55.rar,D:\DBX\LocalDocFolder\1\HealthPatch Related documents-2022-12-19-12-5-55.rar,test 123,HealthPatch Related documents.rar,TempFiles,12/19/2022
1051,Sibel App,SLWaveFormPlotCode-Cody Spacelab timeserios ,\16\SLWaveFormPlotCode-Cody-2022-12-19-16-18-2.rar,D:\DBX\LocalDocFolder\16\SLWaveFormPlotCode-Cody-2022-12-19-16-18-2.rar,,SLWaveFormPlotCode-Cody.rar,General,12/19/2022
1052,Sibel App,SibelAppSDKIntegrated.1122 rar,\16\SibelAppSDKIntegrated-2022-12-19-16-18-25.rar,D:\DBX\LocalDocFolder\16\SibelAppSDKIntegrated-2022-12-19-16-18-25.rar,,SibelAppSDKIntegrated.rar,,12/19/2022
1053,Sibel App,SLWaveFormPlotCode-Cody.rar,\16\SLWaveFormPlotCode-Cody-2022-12-19-16-20-21.rar,D:\DBX\LocalDocFolder\16\SLWaveFormPlotCode-Cody-2022-12-19-16-20-21.rar,,SLWaveFormPlotCode-Cody.rar,TempFiles,12/19/2022
1056,General,Fresh 2 Rely Weekly Meeting ,\1\Weekly Meeting -2022-12-20-638071312129454340.rtf,D:\DBX\LocalDocFolder\1\Weekly Meeting -2022-12-20-638071312129454340.rtf,,,Minutes,12/20/2022
1058,Sibel App,General Meeting ,\16\General Meeting -2022-12-20-638071326063108939.rtf,D:\DBX\LocalDocFolder\16\General Meeting -2022-12-20-638071326063108939.rtf,,,Minutes,12/20/2022
1059,General,BPL Alarm and ISO Standards General Meeting ,\1\Alarm snad ISO Standards General Meeting -2022-12-20-638071507047657607.rtf,D:\DBX\LocalDocFolder\1\Alarm snad ISO Standards General Meeting -2022-12-20-638071507047657607.rtf,,,Minutes,12/20/2022
1061,Sibel App,Weekly Meeting ,\16\Weekly Meeting -2022-12-20-638071620161698817.rtf,D:\DBX\LocalDocFolder\16\Weekly Meeting -2022-12-20-638071620161698817.rtf,,,Minutes,12/20/2022
1063,General,Luxisense Initial Meeting ,\1\General Meeting -2022-12-21-638072120675388477.rtf,D:\DBX\LocalDocFolder\1\General Meeting -2022-12-21-638072120675388477.rtf,,,Minutes,12/21/2022
1069,General,bmjo tvc blr rac10012023.pdf,\1\bmjo tvc blr rac10012023.pdf,D:\DBX\LocalDocFolder\1\bmjo tvc blr rac10012023.pdf,bmjo tvc blr rac10012023.pdf,bmjo tvc blr rac10012023.pdf,TempFiles,12/21/2022
1070,General,0460481b-0e11-4042-9d92-0dfb737a3d4c.tmp,\1\0460481b-0e11-4042-9d92-0dfb737a3d4c.tmp,D:\DBX\LocalDocFolder\1\0460481b-0e11-4042-9d92-0dfb737a3d4c.tmp,0460481b-0e11-4042-9d92-0dfb737a3d4c.tmp,0460481b-0e11-4042-9d92-0dfb737a3d4c.tmp,TempFiles,12/21/2022
1072,General,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1.pptx,\1\~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1.pptx,D:\DBX\LocalDocFolder\1\~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1.pptx,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1.pptx,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1.pptx,TempFiles,12/21/2022
1076,General,106c1e0c-623a-4d1b-a882-2a7f30d3c0bd.tmp,\1\106c1e0c-623a-4d1b-a882-2a7f30d3c0bd.tmp,D:\DBX\LocalDocFolder\1\106c1e0c-623a-4d1b-a882-2a7f30d3c0bd.tmp,106c1e0c-623a-4d1b-a882-2a7f30d3c0bd.tmp,106c1e0c-623a-4d1b-a882-2a7f30d3c0bd.tmp,TempFiles,12/21/2022
1079,General,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1 (1).pptx,\1\~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1 (1).pptx,D:\DBX\LocalDocFolder\1\~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1 (1).pptx,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1 (1).pptx,~$iOrbit-Haystack-Monthlystatus-Mar21-V1p1 (1).pptx,TempFiles,12/21/2022
1089,Sibel App,High priority issue discussion Meeting ,\16\High priority issue discussion Meeting -2022-12-22-638073182137130722.rtf,D:\DBX\LocalDocFolder\16\High priority issue discussion Meeting -2022-12-22-638073182137130722.rtf,,,Minutes,12/22/2022
1090,BPL CPAB,Weekly Meeting ,\14\Weekly Meeting -2022-12-22-638073210028672665.rtf,D:\DBX\LocalDocFolder\14\Weekly Meeting -2022-12-22-638073210028672665.rtf,,,Minutes,12/22/2022
1101,Sibel App,ECGDataSource.kt,\16\ECGDataSource-2022-12-24-11-10-39.kt,D:\DBX\LocalDocFolder\16\ECGDataSource-2022-12-24-11-10-39.kt,,ECGDataSource.kt,TempFiles,12/24/2022
1102,Sibel App,PPGDataSource.kt,\16\PPGDataSource-2022-12-24-11-10-55.kt,D:\DBX\LocalDocFolder\16\PPGDataSource-2022-12-24-11-10-55.kt,,PPGDataSource.kt,TempFiles,12/24/2022
1103,Sibel App,XYDataSource.kt,\16\XYDataSource-2022-12-24-11-11-3.kt,D:\DBX\LocalDocFolder\16\XYDataSource-2022-12-24-11-11-3.kt,,XYDataSource.kt,TempFiles,12/24/2022
1104,Sibel App,SibelSensorManager.kt,\16\SibelSensorManager-2022-12-24-11-11-44.kt,D:\DBX\LocalDocFolder\16\SibelSensorManager-2022-12-24-11-11-44.kt,,SibelSensorManager.kt,TempFiles,12/24/2022
1105,Sibel App,LogWriter.java,\16\LogWriter-2022-12-24-11-11-53.java,D:\DBX\LocalDocFolder\16\LogWriter-2022-12-24-11-11-53.java,,LogWriter.java,TempFiles,12/24/2022
1106,Sibel App,ApplicationManager.kt,\16\ApplicationManager-2022-12-24-11-12-8.kt,D:\DBX\LocalDocFolder\16\ApplicationManager-2022-12-24-11-12-8.kt,,ApplicationManager.kt,TempFiles,12/24/2022
1107,Sibel App,CommonDataArea.kt,\16\CommonDataArea-2022-12-24-11-12-19.kt,D:\DBX\LocalDocFolder\16\CommonDataArea-2022-12-24-11-12-19.kt,,CommonDataArea.kt,TempFiles,12/24/2022
1108,Sibel App,MainActivity.kt,\16\MainActivity-2022-12-24-11-12-48.kt,D:\DBX\LocalDocFolder\16\MainActivity-2022-12-24-11-12-48.kt,,MainActivity.kt,TempFiles,12/24/2022
1109,Sibel App,Dialogs.kt,\16\Dialogs-2022-12-24-11-13-6.kt,D:\DBX\LocalDocFolder\16\Dialogs-2022-12-24-11-13-6.kt,,Dialogs.kt,TempFiles,12/24/2022
1110,Sibel App,MainActivityUIs.kt,\16\MainActivityUIs-2022-12-24-11-13-22.kt,D:\DBX\LocalDocFolder\16\MainActivityUIs-2022-12-24-11-13-22.kt,,MainActivityUIs.kt,TempFiles,12/24/2022
1118,General,chat gpt.jpg,\1\chat gpt-2022-12-27-9-51-49.jpg,D:\DBX\LocalDocFolder\1\chat gpt-2022-12-27-9-51-49.jpg,,chat gpt.jpg,TempFiles,12/27/2022
1119,General,chat gpt.jpg,\1\chat gpt-2022-12-27-10-15-14.jpg,D:\DBX\LocalDocFolder\1\chat gpt-2022-12-27-10-15-14.jpg,,chat gpt.jpg,TempFiles,12/27/2022
1120,Not used,2022-6-15detail.csv,\1\2022-6-15detail-2022-12-27-11-38-34.csv,D:\DBX\LocalDocFolder\1\2022-6-15detail-2022-12-27-11-38-34.csv,,2022-6-15detail.csv,TempFiles,12/27/2022
1126,General,2022-5-1detail.csv,\1\2022-5-1detail-2022-12-27-18-16-0.csv,D:\DBX\LocalDocFolder\1\2022-5-1detail-2022-12-27-18-16-0.csv,,2022-5-1detail.csv,General,12/27/2022
1127,General,2022-5-14detail.csv,\1\2022-5-14detail-2022-12-27-18-55-28.csv,D:\DBX\LocalDocFolder\1\2022-5-14detail-2022-12-27-18-55-28.csv,,2022-5-14detail.csv,Requirements,12/27/2022
1128,General,lead1.csv,\1\lead1-2022-12-28-9-52-20.csv,D:\DBX\LocalDocFolder\1\lead1-2022-12-28-9-52-20.csv,,lead1.csv,TempFiles,12/28/2022
1130,General,IOMT Launch page(2).pptx,\1\IOMT Launch page(2).pptx,D:\DBX\LocalDocFolder\1\IOMT Launch page(2).pptx,IOMT Launch page(2).pptx,IOMT Launch page(2).pptx,TechDoc,12/28/2022
1134,General,iOrbitDigitalTechnologies-SL-CorpOverview-BM-1.8 Final.pptx,\1\iOrbitDigitalTechnologies-SL-CorpOverview-BM-1.8 Final-2022-12-28-10-49-41.pptx,D:\DBX\LocalDocFolder\1\iOrbitDigitalTechnologies-SL-CorpOverview-BM-1.8 Final-2022-12-28-10-49-41.pptx,,iOrbitDigitalTechnologies-SL-CorpOverview-BM-1.8 Final.pptx,TempFiles,12/28/2022
1135,General,BPL CPAP Schematic Design iorbit_design_v1.0.pdf,\1\BPL CPAP Schematic Design iorbit_design_v1.0.pdf,D:\DBX\LocalDocFolder\1\BPL CPAP Schematic Design iorbit_design_v1.0.pdf,iorbit_design_v1.0.pdf,iorbit_design_v1.0.pdf,TechDoc,12/28/2022
1136,BPL CPAB,Motor Blower controller used in BPL CPAP Machine development,\14\Moton Blower controller used in BPL CPAP Machine development,D:\DBX\LocalDocFolder\14\Moton Blower controller used in BPL CPAP Machine development,mct8316a.pdf,mct8316a.pdf,Documents,12/28/2022
1137,General,Luxisense pressure sensor array used for detecting bedsore and many other applications,\1\Luxisense pressure sensor array used for detecting bedsore and many other applications,D:\DBX\LocalDocFolder\1\Luxisense pressure sensor array used for detecting bedsore and many other applications,2D_POF_sensor_ECOC_2020_v2.pdf,2D_POF_sensor_ECOC_2020_v2.pdf,TechDoc,12/28/2022
1139,IOMT Platform,BLE HUB Python Code .py,\5\BLE HUB Python Code .py,D:\DBX\LocalDocFolder\5\BLE HUB Python Code .py,join24.py,join24.py,TechDoc,12/28/2022
1141,General,SibelSensorManager.kt,\1\SibelSensorManager-2022-12-29-11-25-18.kt,D:\DBX\LocalDocFolder\1\SibelSensorManager-2022-12-29-11-25-18.kt,,SibelSensorManager.kt,TempFiles,12/29/2022
1142,General,MainActivity.kt,\1\MainActivity-2022-12-29-11-25-38.kt,D:\DBX\LocalDocFolder\1\MainActivity-2022-12-29-11-25-38.kt,,MainActivity.kt,TempFiles,12/29/2022
1143,General,MainActivityUIs.kt,\1\MainActivityUIs-2022-12-29-11-25-52.kt,D:\DBX\LocalDocFolder\1\MainActivityUIs-2022-12-29-11-25-52.kt,,MainActivityUIs.kt,TempFiles,12/29/2022
1160,General,Health Patch General Meeting ,\1\Health Patch General Meeting -2023-1-2-638082601628137213.rtf,D:\DBX\LocalDocFolder\1\Health Patch General Meeting -2023-1-2-638082601628137213.rtf,,,Minutes,1/2/2023
1162,NEERS Hardware and Firmware,NEERS Software architecture diagram,\12\ScreenShot-270.bmp,D:\DBX\LocalDocFolder\12\ScreenShot-270.bmp,,,General,1/2/2023
1163,NEERS Hardware and Firmware,NEES Screen Design 1,\12\ScreenShot-171.bmp,D:\DBX\LocalDocFolder\12\ScreenShot-171.bmp,,,General,1/2/2023
1165,General,Lux Pressure MAT SOW Discussion,\1\Lux Pressure MAT SOW Discussion-2023-1-3-638083374611865975.rtf,D:\DBX\LocalDocFolder\1\Lux Pressure MAT SOW Discussion-2023-1-3-638083374611865975.rtf,,,Minutes,1/3/2023
1166,BPL CPAB,Weekly General Meeting ,\14\Weekly General Meeting -2023-1-3-638083423728496295.rtf,D:\DBX\LocalDocFolder\14\Weekly General Meeting -2023-1-3-638083423728496295.rtf,,,Minutes,1/3/2023
1169,Sibel App,Weekly Meeting ,\16\Weekly Meeting -2023-1-3-638083714138899818.rtf,D:\DBX\LocalDocFolder\16\Weekly Meeting -2023-1-3-638083714138899818.rtf,,,Minutes,1/3/2023
1177,BPL CPAB,BPL CPAP Circuit Schematics,\14\BPL CPAP Circuit Schematics,D:\DBX\LocalDocFolder\14\BPL CPAP Circuit Schematics,iorbit_design_v1.0 (1).pdf,iorbit_design_v1.0 (1).pdf,TechDoc,1/4/2023
1182,General,Healthpatch Phase 2 Gant chart,\1\ScreenShot-116.bmp,D:\DBX\LocalDocFolder\1\ScreenShot-116.bmp,,,General,1/4/2023
1184,General,Fresh2Rely General Meeting ,\1\Fresh2Rely General Meeting -2023-1-4-638084485872073104.rtf,D:\DBX\LocalDocFolder\1\Fresh2Rely General Meeting -2023-1-4-638084485872073104.rtf,,,Minutes,1/4/2023
1193,General,SOW Review Luxisense and Healthpatch,\1\General Meeting -2023-1-6-638086000451884663.rtf,D:\DBX\LocalDocFolder\1\General Meeting -2023-1-6-638086000451884663.rtf,,,Minutes,1/6/2023
1194,General,ISO Internal audit General Meeting ,\1\ISO Internal audit General Meeting -2023-1-6-638086232906254815.rtf,D:\DBX\LocalDocFolder\1\ISO Internal audit General Meeting -2023-1-6-638086232906254815.rtf,,,Minutes,1/6/2023
